CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Geography,Gender,HasCrCard,IsActiveMember
692,29,4,0.0,1,76755.99,France,Male,1,0
697,47,6,128252.66,1,168053.4,France,Female,1,1
738,35,8,127290.61,1,16081.62,Spain,Male,1,0
738,39,5,0.0,2,114388.98,France,Male,1,1
626,44,2,0.0,1,173117.22,France,Female,0,1
736,36,8,103914.17,1,110035.88,Germany,Female,1,1
509,31,3,0.0,2,15360.91,France,Male,1,0
757,33,1,122088.67,1,42581.09,Germany,Male,1,0
744,41,2,84113.41,1,197548.63,Germany,Female,1,0
632,50,5,107959.39,1,6985.34,Germany,Female,1,1
788,70,1,0.0,2,41610.62,Spain,Female,1,1
740,31,8,0.0,2,86657.48,Spain,Female,0,0
501,40,2,0.0,2,141946.92,France,Female,0,0
524,30,1,0.0,2,126812.85,France,Male,1,0
524,36,10,0.0,2,109614.57,France,Female,1,0
437,49,9,111634.29,2,166440.32,France,Male,0,1
747,49,6,202904.64,1,17298.72,France,Male,1,1
692,45,6,142084.04,4,188305.85,Germany,Male,1,0
652,33,7,128135.99,1,158437.73,Germany,Male,1,0
611,30,9,88594.14,1,196332.45,France,Female,1,0
704,54,6,133656.91,3,145071.33,Germany,Female,1,0
653,33,1,0.0,2,53379.52,France,Male,0,0
749,33,1,74385.98,1,20164.47,France,Female,1,0
744,29,6,123737.04,2,141558.04,Germany,Male,1,0
665,55,8,136354.16,1,93769.89,France,Female,1,1
634,29,8,130036.21,2,69849.55,Germany,Female,0,1
605,52,1,63349.75,1,108887.44,France,Male,1,0
725,39,4,160652.45,2,57643.55,France,Male,1,0
710,33,1,0.0,2,168313.17,Spain,Male,1,0
556,48,8,168522.37,1,151310.16,Spain,Female,1,1
796,44,8,165326.2,1,57205.55,France,Male,1,1
554,46,7,87603.35,3,96929.24,Spain,Female,0,1
793,32,1,96408.98,1,138191.81,Germany,Female,1,1
487,46,4,135070.58,2,44244.49,Germany,Female,1,1
573,52,8,0.0,2,178229.04,France,Male,0,1
625,37,4,142711.81,1,35625.41,Germany,Female,1,0
630,36,8,126598.99,2,134407.93,France,Female,1,1
568,26,10,109819.16,2,154491.39,Germany,Female,1,0
689,46,7,52016.08,2,72993.65,France,Female,1,1
666,50,7,109062.28,1,140136.1,Germany,Female,1,1
569,35,2,109196.66,3,109393.19,Germany,Male,1,0
775,52,8,109922.61,1,96823.32,France,Male,1,1
497,24,3,0.0,2,76390.01,Spain,Male,1,0
693,28,1,145118.83,1,77742.38,Spain,Male,0,1
726,29,7,0.0,2,91844.14,France,Male,1,1
842,35,9,119948.09,1,48217.97,Germany,Female,1,0
526,31,5,145537.21,1,132404.64,Germany,Male,1,0
787,35,1,106266.8,1,16607.15,France,Female,1,1
541,37,9,118636.92,1,73551.44,France,Male,1,1
636,34,3,0.0,2,44756.25,France,Female,1,1
581,43,9,78022.61,1,30662.91,Spain,Male,0,1
850,41,8,60880.68,1,31825.84,Germany,Male,1,0
646,24,0,92398.08,1,18897.29,Germany,Male,1,1
773,41,5,0.0,1,28266.9,Spain,Female,1,0
665,25,5,153611.83,2,35321.65,Germany,Male,1,0
706,53,7,0.0,2,117939.17,Spain,Male,0,1
682,54,0,83102.72,2,54132.93,Spain,Female,1,1
750,37,3,0.0,2,16870.2,France,Male,1,0
567,59,3,0.0,2,25843.7,France,Male,1,0
812,24,1,92476.88,1,83247.14,Spain,Female,0,0
350,60,3,0.0,1,113796.15,France,Female,0,0
774,43,1,110646.54,1,108804.28,Spain,Female,0,0
585,55,10,106415.57,3,122960.98,France,Male,1,1
612,35,1,0.0,1,83256.26,Spain,Male,1,1
721,68,4,136525.99,1,175399.14,Germany,Male,0,0
642,38,3,0.0,2,171463.83,France,Male,0,0
850,37,4,88141.1,1,109659.12,Spain,Male,1,0
745,38,5,65095.41,2,140197.42,Germany,Male,1,1
600,41,1,0.0,2,91193.65,France,Female,1,1
630,29,6,131354.39,1,9324.31,Germany,Male,0,1
588,22,9,67178.19,1,163534.75,Spain,Female,1,1
540,39,1,82531.11,1,114092.52,Germany,Male,1,0
833,47,2,0.0,2,182247.77,France,Male,1,1
675,31,2,90826.27,2,60270.87,Spain,Male,1,0
636,36,1,0.0,3,74048.1,Spain,Male,1,1
695,37,2,0.0,2,99692.65,France,Male,1,1
619,38,10,84651.79,1,184754.26,Germany,Male,1,1
449,32,0,155619.36,1,166692.03,Spain,Male,1,1
674,32,7,85757.93,1,95481.0,France,Female,1,1
677,56,0,119963.45,1,158325.87,France,Female,0,0
512,41,8,145150.28,1,64869.32,France,Female,1,0
698,27,7,0.0,2,111471.55,France,Male,1,0
658,35,5,126397.66,1,156361.58,France,Female,0,0
511,40,1,0.0,1,184118.73,Spain,Female,1,1
640,68,9,0.0,2,199493.38,France,Male,1,1
753,31,6,106596.29,1,91305.77,France,Female,0,0
623,43,4,123536.52,2,154908.52,Spain,Female,0,0
727,58,5,106913.43,1,25881.0,Germany,Male,1,0
735,73,9,0.0,1,114283.33,France,Male,1,1
671,48,8,115713.84,2,83210.84,France,Female,0,0
645,59,8,121669.93,2,91.75,Germany,Female,0,0
829,37,3,103457.76,1,1114.12,Germany,Female,0,0
792,50,4,146710.76,1,16528.4,Germany,Female,1,0
828,28,8,134766.85,1,79355.87,Spain,Male,1,0
699,49,2,0.0,1,105760.01,France,Female,0,0
498,41,4,87541.06,2,12577.21,Germany,Female,1,1
850,62,1,124678.35,1,70916.0,France,Female,1,0
835,32,8,124993.29,2,27548.06,France,Male,1,1
694,39,0,107042.74,1,102284.2,Spain,Male,1,1
797,29,1,0.0,2,132975.39,France,Female,1,1
472,40,4,0.0,1,70154.22,Spain,Male,1,0
763,67,1,149436.73,2,106282.74,France,Male,0,1
681,48,5,139714.4,2,73066.72,Germany,Male,0,0
666,33,2,147229.65,1,56410.17,France,Female,1,1
647,33,7,121260.19,2,77216.48,Spain,Male,1,0
598,40,2,171178.25,1,137980.58,France,Female,1,0
702,38,2,0.0,1,161888.63,Spain,Female,1,1
586,43,8,132558.26,1,67046.83,France,Female,1,0
773,40,10,0.0,2,69303.15,France,Female,0,1
658,35,9,71829.34,1,68141.92,Spain,Male,1,1
806,40,5,80613.93,1,142838.64,France,Male,1,1
687,44,9,0.0,2,103042.2,France,Female,0,0
662,37,4,155187.3,1,48930.8,Spain,Male,1,0
599,37,2,0.0,2,143739.29,Spain,Female,1,1
570,57,5,86568.75,1,103660.31,Germany,Female,0,1
797,55,10,0.0,4,49418.87,France,Female,1,1
612,76,6,96166.88,1,191393.26,Germany,Male,1,1
588,34,10,129417.82,1,153727.32,Germany,Female,1,0
710,38,4,0.0,2,136390.88,Spain,Female,1,1
809,50,10,118098.62,1,100720.02,Germany,Male,1,1
669,45,1,123949.75,1,110881.56,Germany,Male,0,0
792,59,9,101609.77,1,161479.19,Germany,Female,0,0
795,33,9,130862.43,1,114935.21,Germany,Female,1,1
772,42,0,101979.16,1,90928.48,Germany,Female,1,0
706,34,0,140641.26,2,77271.91,Germany,Male,1,1
751,30,3,165257.2,1,134822.05,France,Male,0,0
681,46,0,105969.42,1,5771.56,France,Male,1,0
556,36,2,134208.22,1,177670.57,France,Female,0,1
589,61,1,0.0,1,61108.56,France,Female,1,0
850,28,9,97408.03,1,175853.64,Spain,Male,1,1
582,40,3,110150.43,1,191757.65,Germany,Female,1,1
577,37,4,0.0,1,79881.39,France,Female,1,1
601,54,1,131039.97,2,199661.5,Germany,Female,1,1
788,41,6,0.0,1,25571.37,France,Female,1,1
556,46,10,0.0,2,109184.24,France,Female,0,0
650,39,4,0.0,2,186275.7,France,Female,0,0
745,36,8,67226.37,1,130789.6,France,Male,1,0
603,31,4,0.0,2,9607.1,France,Male,0,1
850,39,3,124548.99,2,120380.12,Germany,Male,1,1
771,27,2,0.0,2,199527.34,France,Male,1,1
590,54,4,0.0,2,93820.49,France,Female,1,1
850,55,0,98710.89,1,83617.17,Germany,Male,1,1
687,38,9,122570.87,1,35608.88,France,Male,1,1
600,38,9,0.0,2,58855.85,France,Female,1,1
825,32,1,0.0,2,42935.15,Spain,Female,1,1
548,39,7,131468.44,1,164975.82,Spain,Male,1,0
712,29,7,147199.07,1,84932.4,Germany,Female,1,1
742,29,4,0.0,2,180066.59,France,Female,1,1
698,56,1,112414.81,2,93982.02,Germany,Male,0,0
457,42,4,126772.57,1,126106.4,Germany,Male,0,1
850,37,4,126872.6,1,197266.58,France,Male,1,0
530,44,6,0.0,2,55893.37,Spain,Male,0,0
606,38,7,128578.52,1,193878.51,Spain,Male,1,1
818,49,2,0.0,1,192298.84,France,Female,0,1
552,45,9,0.0,2,26752.56,Spain,Male,1,0
474,33,5,0.0,2,181945.52,France,Male,1,0
599,30,9,105443.68,1,121124.53,France,Male,1,1
743,35,1,146781.24,1,189307.7,Germany,Female,1,0
742,32,6,160485.16,1,29023.03,France,Male,1,0
765,42,4,123311.39,2,82868.34,France,Male,1,1
796,30,2,137262.71,2,62905.29,France,Male,1,0
557,36,3,0.0,1,144078.02,France,Male,0,1
648,27,7,0.0,2,163060.43,Spain,Female,1,1
804,50,4,0.0,1,8546.87,France,Female,1,1
720,45,1,102882.4,2,35633.15,France,Female,1,1
804,55,7,0.0,2,118752.6,France,Male,1,1
550,36,2,113877.23,2,174921.91,Germany,Male,1,0
608,44,5,126147.84,1,132424.69,Germany,Female,0,1
668,32,7,0.0,2,777.37,France,Male,1,1
633,58,2,128137.42,2,147635.33,Germany,Male,1,0
787,33,1,126588.81,2,62163.53,France,Male,0,1
550,22,6,154377.3,1,51721.52,France,Male,1,1
539,38,8,71460.67,2,10074.05,Spain,Male,1,1
555,27,5,0.0,2,96398.51,Spain,Male,0,0
551,36,5,0.0,1,183479.12,France,Female,1,0
641,51,2,117306.69,4,26912.72,Germany,Female,1,1
660,20,6,167685.56,1,57929.9,France,Female,1,0
815,39,6,0.0,1,85167.88,Spain,Female,1,1
850,35,1,211774.31,1,188574.12,France,Female,1,0
701,21,9,0.0,2,26327.42,Spain,Female,1,1
663,35,9,0.0,2,195580.28,France,Male,1,1
516,53,1,156674.2,1,118502.34,Germany,Female,1,0
518,38,3,90957.81,1,162304.59,France,Male,0,1
662,47,6,0.0,2,129392.75,France,Female,1,1
545,74,3,0.0,2,161326.73,Spain,Female,1,1
579,31,9,0.0,1,139048.0,France,Male,0,1
639,66,0,0.0,2,42240.54,France,Male,0,1
494,40,7,0.0,2,158071.69,France,Male,0,1
750,22,3,121681.82,1,128643.35,Spain,Male,1,0
468,22,2,0.0,2,28123.99,France,Male,1,0
758,43,10,0.0,2,55313.44,Spain,Female,1,1
729,44,6,0.0,2,151733.43,France,Male,1,0
777,23,6,0.0,2,163225.48,France,Male,1,1
837,38,2,0.0,2,46395.21,France,Female,1,1
437,26,1,120923.52,1,78854.57,France,Female,0,1
715,38,2,96798.79,2,4554.67,Spain,Male,1,1
567,23,9,93522.2,1,81425.61,France,Female,0,1
711,41,3,145754.91,1,101455.07,France,Female,1,1
713,41,3,0.0,2,55772.04,France,Male,1,0
553,42,7,0.0,2,7680.23,Spain,Male,1,0
493,36,5,148667.81,2,56092.51,France,Female,1,0
592,71,4,0.0,2,17013.54,France,Male,0,1
540,39,2,0.0,2,81995.92,Spain,Male,1,0
695,23,1,0.0,2,141756.32,France,Female,1,1
634,41,8,68213.99,1,6382.46,France,Female,1,1
539,24,3,0.0,2,198161.07,France,Female,1,1
749,36,7,0.0,2,80134.65,Spain,Male,0,0
610,26,8,0.0,2,166031.08,France,Male,1,0
587,45,8,134980.74,1,123309.57,Germany,Female,1,1
463,20,8,204223.03,1,128268.39,Spain,Male,1,0
769,34,7,137239.17,1,71379.92,Germany,Female,1,1
633,61,3,157201.48,1,50368.63,France,Male,0,1
694,39,9,0.0,2,99924.04,Spain,Female,0,0
678,54,7,128914.97,1,191746.23,France,Male,0,0
561,31,1,81480.27,2,65234.6,France,Female,1,1
643,32,2,0.0,1,131301.74,Spain,Female,0,0
627,32,10,0.0,2,103287.62,France,Male,1,0
752,49,2,78653.84,1,7698.6,France,Male,1,0
752,38,3,183102.29,1,71557.12,Germany,Male,1,1
613,37,3,171653.17,1,5353.12,Spain,Male,0,1
435,44,3,151739.65,1,167461.5,Germany,Male,1,0
513,29,10,0.0,2,25514.77,France,Male,0,1
714,34,10,0.0,2,80234.14,France,Male,1,1
744,31,0,117551.23,1,158958.9,Spain,Male,1,0
697,39,6,151553.19,1,44946.29,France,Female,1,1
725,36,1,118851.05,1,102747.02,France,Female,1,1
524,22,9,0.0,2,74405.34,France,Male,1,0
759,31,8,0.0,2,99086.74,Spain,Male,1,1
785,33,5,136624.6,2,169117.74,Germany,Female,1,1
678,30,0,0.0,1,35113.08,Spain,Male,1,0
606,40,6,119501.88,2,46774.94,France,Male,1,0
637,27,1,0.0,2,91291.2,France,Male,1,0
596,57,6,0.0,2,72402.0,Spain,Male,1,1
545,47,5,0.0,2,38970.14,Spain,Female,1,1
722,46,6,0.0,1,93917.68,France,Male,1,1
766,27,7,158786.67,2,47579.25,France,Female,0,1
850,34,2,72079.71,1,115767.93,France,Male,1,1
494,25,6,0.0,2,109988.09,France,Male,0,1
563,44,7,105007.31,2,197812.16,Germany,Male,1,1
728,37,4,0.0,1,4539.38,Spain,Female,0,0
639,54,2,0.0,2,53843.71,Spain,Female,1,1
521,38,5,110641.18,1,136507.69,France,Male,0,1
437,28,2,109161.25,1,152987.42,Spain,Male,1,0
744,54,6,93806.31,2,140068.77,France,Male,0,1
516,46,2,0.0,2,169122.54,France,Male,1,1
677,41,8,146720.98,2,4195.84,Germany,Female,1,1
792,36,5,92140.15,1,67468.67,Spain,Male,0,1
630,67,5,0.0,2,27330.27,France,Male,1,1
737,44,7,0.0,2,57898.58,France,Male,0,0
762,20,1,139432.55,1,85606.83,France,Male,1,1
741,38,9,0.0,2,14379.01,France,Male,1,0
736,36,6,0.0,1,70496.66,France,Female,1,0
425,22,7,169649.73,2,136365.0,Spain,Female,0,1
629,37,6,129101.3,1,23971.33,France,Female,1,1
495,42,7,0.0,2,130404.53,Spain,Female,0,0
850,49,8,98649.55,1,119174.88,Germany,Male,1,0
599,34,8,0.0,2,174196.68,France,Male,1,1
744,44,3,0.0,2,189016.14,France,Female,1,1
537,38,6,141786.78,1,147797.54,Spain,Female,0,1
725,47,1,104887.43,1,86622.56,Germany,Female,0,0
834,34,5,0.0,2,53437.1,Spain,Male,0,0
550,62,7,80927.56,1,64490.67,Spain,Male,0,1
815,37,1,166115.42,1,67208.3,France,Male,1,0
486,37,9,115217.99,2,144995.33,Germany,Male,1,0
634,24,8,103097.85,1,157577.29,Germany,Male,1,1
593,27,10,0.0,3,94620.0,Spain,Male,0,0
503,36,9,0.0,2,16274.67,Spain,Female,1,1
698,36,6,0.0,2,19231.98,France,Male,0,1
492,52,8,125396.24,1,10014.72,Germany,Female,1,0
644,49,10,0.0,2,145089.64,Spain,Male,1,1
468,22,1,76318.64,1,194783.12,France,Female,1,1
602,33,8,0.0,2,112928.74,France,Female,1,1
665,28,8,191402.82,2,83238.4,France,Male,1,0
740,40,2,122295.17,2,30812.84,Germany,Female,1,1
560,35,1,0.0,2,3701.63,France,Female,1,0
663,33,9,0.0,2,91514.62,Spain,Male,0,0
641,30,2,87505.47,2,7278.57,France,Male,0,1
660,34,8,106486.66,2,182262.66,France,Male,0,1
838,35,0,0.0,2,197305.91,Spain,Male,0,1
587,51,3,83739.32,1,148798.45,Spain,Male,0,1
698,47,5,156265.31,2,1055.66,France,Male,0,0
834,23,4,131254.81,1,20199.3,France,Male,1,0
815,57,5,0.0,3,38941.44,Spain,Female,0,0
664,32,10,107209.73,1,112340.2,France,Male,1,1
629,34,8,0.0,2,180595.02,Spain,Male,1,1
696,51,5,0.0,2,55022.43,Spain,Female,1,0
623,24,7,148167.83,2,109470.34,France,Female,1,1
737,28,8,0.0,2,106390.01,France,Male,1,0
676,48,2,124442.38,1,15068.53,Germany,Female,1,0
768,47,5,104552.61,1,48137.08,Germany,Female,1,0
635,44,2,79064.85,2,113291.75,Germany,Female,0,1
645,42,6,0.0,1,149807.01,France,Male,0,0
600,29,8,0.0,2,34747.43,France,Male,0,1
606,35,2,132164.26,1,164815.59,France,Male,0,1
665,38,5,0.0,2,156439.56,France,Female,1,0
589,46,10,0.0,2,168369.37,Spain,Female,0,1
673,57,4,0.0,2,49684.09,Spain,Female,1,1
603,55,7,127723.25,2,139469.11,Germany,Female,1,0
479,48,5,87070.23,1,85646.41,Spain,Male,0,1
850,31,4,91292.7,1,162149.07,Spain,Female,1,1
587,36,1,0.0,2,17135.6,France,Male,0,1
629,31,6,0.0,2,93881.75,France,Male,1,0
513,72,3,98903.06,1,81251.24,Spain,Male,1,1
641,37,6,0.0,2,45309.24,France,Male,1,0
540,37,3,129965.18,1,19374.08,Germany,Male,0,0
710,62,3,131078.42,2,119348.76,Spain,Male,1,0
746,36,2,0.0,2,16436.56,Spain,Male,1,1
614,19,5,97445.49,2,122823.34,France,Female,1,0
547,49,2,0.0,1,65466.93,France,Female,0,0
649,47,8,110783.28,1,71420.16,Spain,Female,1,1
775,27,4,152309.37,1,104112.0,France,Female,1,0
703,28,2,81173.83,2,162812.16,France,Male,0,1
687,47,1,91219.29,1,158845.49,Germany,Female,0,0
777,42,5,147531.82,1,38819.45,France,Female,1,1
561,28,6,123692.0,1,70548.96,Spain,Male,1,1
604,40,1,0.0,2,123207.17,France,Female,1,0
597,60,0,78539.84,1,48502.88,Germany,Female,0,1
533,39,2,0.0,1,73669.94,France,Female,0,1
850,39,4,127771.35,2,151738.54,France,Male,0,1
848,40,3,110929.96,1,30876.84,Spain,Male,1,1
650,32,1,132187.73,2,178331.36,Spain,Male,1,1
418,39,2,0.0,2,9041.71,France,Female,0,0
656,68,7,153545.11,1,186574.68,Germany,Male,1,1
785,33,6,127211.45,1,191961.83,Germany,Female,0,0
774,36,9,130809.77,1,152290.28,Germany,Male,1,0
694,57,8,116326.07,1,117704.65,Spain,Male,1,1
705,54,3,125889.3,3,96013.5,Germany,Female,1,0
775,30,4,0.0,2,49337.84,France,Male,1,0
629,29,6,0.0,2,88842.8,Spain,Male,1,1
665,36,1,0.0,2,121505.61,France,Male,0,1
618,54,4,118449.21,1,133573.29,Germany,Female,1,1
443,59,4,110939.3,1,72846.58,Germany,Male,1,0
747,42,4,80214.36,1,115241.96,France,Male,1,0
630,39,10,105473.74,1,58854.88,Spain,Male,0,0
483,44,5,136836.49,1,192359.9,France,Female,1,0
705,35,3,0.0,2,66331.01,France,Female,0,1
779,37,2,128389.63,1,6589.16,Germany,Female,1,1
710,30,10,0.0,2,19500.1,Spain,Female,1,0
404,54,4,125456.07,1,83715.66,Germany,Female,1,0
700,31,7,0.0,2,145151.96,Spain,Male,0,1
573,44,4,0.0,1,94862.93,Spain,Female,1,1
637,45,2,157929.45,1,145134.49,Spain,Female,1,1
850,28,2,0.0,2,38773.74,France,Female,1,1
461,35,8,0.0,1,132295.95,Spain,Female,1,0
724,33,4,88046.88,1,186942.49,Germany,Male,0,1
744,29,1,0.0,1,82422.97,France,Male,0,0
568,29,2,129177.01,2,104617.99,Germany,Female,0,1
613,51,7,147262.11,1,53630.9,Germany,Female,1,1
717,36,2,102989.83,2,49185.57,Spain,Male,0,1
648,41,5,123049.21,1,5066.76,Germany,Male,0,1
790,24,7,107418.27,1,160450.21,Germany,Male,0,1
453,42,5,0.0,3,83008.49,Spain,Female,1,0
781,42,3,156555.54,1,175674.01,France,Female,1,1
612,42,5,141927.1,1,43018.98,Germany,Male,1,1
531,31,3,96288.26,1,56794.73,France,Male,1,0
778,37,0,105617.73,2,133699.82,Germany,Female,1,1
737,41,1,101960.74,1,123547.28,France,Male,1,1
756,62,3,0.0,1,11199.04,France,Male,1,1
703,73,5,137761.55,1,159677.46,Spain,Male,1,1
601,42,9,133636.16,1,103315.74,Germany,Female,0,1
790,29,3,46057.96,2,189777.66,Spain,Male,1,1
688,36,0,89772.3,1,177383.68,Spain,Male,1,0
636,37,9,157098.52,1,153535.27,Germany,Female,1,1
705,43,7,79974.55,1,103108.33,Germany,Female,1,1
516,65,9,102541.1,1,181490.42,Spain,Female,1,0
686,41,7,102749.72,1,194913.86,Spain,Male,0,1
498,37,8,108432.88,2,14865.05,Germany,Male,1,1
737,33,4,0.0,2,115115.32,France,Female,1,0
477,31,9,0.0,2,184061.17,Spain,Male,0,1
689,22,4,136444.25,1,51980.25,France,Male,1,0
647,35,6,112668.7,1,122584.29,France,Female,0,1
716,29,8,0.0,2,78616.92,Spain,Female,0,0
582,26,6,114450.32,1,14081.64,Germany,Male,1,1
787,25,5,0.0,2,47307.9,France,Male,1,0
637,22,5,98800.0,1,122865.55,Spain,Female,1,0
544,38,8,0.0,1,98208.62,France,Male,1,1
481,44,3,163714.52,1,96123.72,Germany,Male,1,0
715,35,2,141005.47,1,60407.93,France,Male,1,1
577,51,2,108867.0,1,140800.66,Spain,Male,0,0
820,36,4,0.0,2,31422.69,France,Male,1,0
426,34,3,0.0,2,61230.83,France,Female,1,1
624,38,7,123906.55,1,135096.78,Spain,Male,1,0
658,36,8,174060.46,1,94925.62,France,Male,1,1
614,35,6,128100.28,1,69454.24,Germany,Female,0,0
571,34,1,101736.66,1,195651.66,Germany,Female,0,1
520,39,6,145644.05,1,104118.93,France,Female,0,0
703,43,8,0.0,2,9704.66,France,Male,1,0
682,36,5,0.0,2,147758.51,Spain,Male,1,1
676,36,3,91711.59,1,95393.43,France,Female,1,1
734,29,0,139994.66,1,17744.72,France,Female,1,0
614,51,3,0.0,2,5552.37,France,Male,1,1
632,49,5,167962.7,1,140201.21,France,Female,0,0
519,47,6,157296.02,2,147278.43,Spain,Female,0,0
437,35,6,126803.34,2,161133.4,Germany,Male,1,1
670,40,2,147171.2,1,69850.04,Germany,Female,0,1
727,49,7,96296.78,1,190457.87,Spain,Female,1,0
587,34,1,0.0,2,97932.68,Spain,Female,1,1
593,38,4,129499.42,1,154071.27,Germany,Female,1,1
539,38,8,82407.51,1,13123.41,Germany,Female,1,0
455,37,6,170057.62,1,54398.56,Germany,Female,0,1
535,38,2,119272.29,1,195896.59,France,Male,0,0
723,49,4,0.0,2,89972.25,France,Female,0,1
729,32,6,93694.42,1,79919.13,France,Male,1,1
694,30,10,144684.03,1,31805.49,France,Male,1,1
653,55,2,70263.83,1,62347.71,Spain,Male,0,1
654,32,6,0.0,2,137898.57,France,Male,1,1
535,40,7,111756.5,1,8128.32,Germany,Male,1,0
537,37,3,0.0,2,20603.32,France,Male,1,1
682,24,9,57929.81,2,53134.3,Germany,Male,0,0
613,35,4,123557.65,2,170903.4,Spain,Male,0,1
659,29,9,82916.48,1,84133.48,Germany,Male,1,1
401,48,8,128140.17,1,175753.55,Germany,Male,1,0
795,37,2,139265.63,2,198745.94,Germany,Male,1,1
648,32,8,0.0,1,133653.38,Spain,Male,1,0
585,67,5,113978.97,2,93146.11,France,Female,0,1
547,29,6,104450.86,1,37160.28,France,Female,1,1
494,41,2,69974.66,2,188426.13,Spain,Female,1,0
719,37,9,101455.7,1,25803.59,France,Female,1,0
613,40,7,124339.9,1,193309.58,France,Male,0,0
696,42,7,162318.61,1,121061.89,Germany,Male,1,0
657,38,7,0.0,2,185827.74,France,Male,1,0
497,37,8,128650.11,2,163641.53,Spain,Male,1,1
613,34,5,144094.2,1,44510.26,France,Male,1,0
749,46,9,66582.81,1,78753.12,Spain,Female,1,0
602,30,9,113672.18,2,102135.92,Spain,Male,0,0
760,34,2,0.0,2,164162.44,France,Male,1,0
729,30,9,0.0,2,151869.35,France,Male,1,0
718,28,4,65643.3,1,28760.99,Germany,Male,1,0
714,33,10,103121.33,2,49672.01,Spain,Female,1,1
607,25,4,121166.89,1,115288.24,Spain,Female,0,1
532,43,9,0.0,2,190573.91,France,Male,0,0
591,42,9,161651.37,2,131753.97,France,Male,1,1
529,35,5,0.0,2,56518.0,Spain,Female,1,0
627,48,1,132759.8,1,78899.22,Spain,Male,1,0
527,32,7,0.0,2,44099.75,France,Female,1,1
721,40,7,0.0,2,122580.48,France,Female,1,1
590,47,0,117879.32,1,8214.46,France,Male,1,1
705,44,3,105934.96,1,82463.69,Germany,Male,1,0
551,37,3,0.0,2,50578.4,France,Male,1,1
638,62,4,108716.59,2,74241.09,Germany,Male,1,1
645,38,7,59568.57,1,167723.25,France,Female,1,1
670,33,6,88294.6,1,66979.06,France,Male,1,0
505,33,3,106506.77,3,45445.78,Germany,Female,1,0
636,34,2,40105.51,2,53512.16,Germany,Male,0,1
683,31,2,0.0,2,77326.78,France,Male,0,1
746,25,9,0.0,2,88728.47,France,Male,0,1
818,36,4,0.0,2,8037.03,France,Male,1,1
686,34,1,0.0,2,87278.48,France,Female,1,0
714,54,4,137986.58,2,51308.54,Germany,Male,0,1
640,29,3,0.0,2,2743.69,France,Female,1,0
732,43,9,0.0,2,183147.17,France,Female,1,0
756,37,3,132623.6,1,58974.0,France,Male,1,1
733,51,10,141556.96,1,130189.53,France,Male,1,0
554,38,4,137654.05,2,172629.67,France,Female,1,1
621,30,2,101014.08,2,165257.31,Germany,Female,1,1
776,29,7,178171.04,2,115818.51,France,Female,1,1
815,25,8,135161.67,1,136071.05,Germany,Female,1,1
550,25,0,0.0,2,184221.11,France,Male,1,1
561,24,8,143656.55,1,180932.46,Spain,Male,0,1
850,36,6,143644.16,1,22102.25,Germany,Female,1,0
597,33,9,0.0,2,49374.82,France,Male,1,0
757,36,1,65349.71,1,64539.64,Germany,Male,0,0
658,31,2,36566.96,1,103644.98,Spain,Female,1,0
789,37,3,0.0,1,121883.87,France,Male,1,0
706,38,8,0.0,2,46635.11,Spain,Male,0,1
610,50,1,113957.01,2,196526.55,Germany,Male,1,0
520,43,7,0.0,2,36202.74,Spain,Male,1,1
668,32,2,0.0,2,40652.33,France,Female,1,1
720,37,8,156282.79,1,45985.52,Germany,Female,1,0
759,30,4,101802.67,1,8693.8,Germany,Male,0,0
506,43,2,0.0,2,105568.6,France,Male,1,0
756,31,10,122647.32,1,61666.87,France,Male,0,0
690,54,5,0.0,1,12847.61,France,Male,1,0
643,51,2,105229.53,1,34967.75,France,Female,1,0
718,49,10,82321.88,1,11144.4,Spain,Female,0,1
687,33,9,135962.4,2,121747.96,Germany,Male,1,0
651,34,3,0.0,2,105599.65,France,Male,1,1
750,52,6,107467.56,1,126233.18,Germany,Female,1,0
655,38,4,0.0,2,110527.71,France,Male,0,0
705,48,0,0.0,2,149772.61,France,Female,0,0
732,29,1,154333.82,1,138527.56,Germany,Female,1,1
676,40,8,114005.78,1,67998.45,France,Male,1,1
640,74,2,116800.25,1,34130.43,Germany,Female,1,1
721,38,7,0.0,1,53534.8,Spain,Male,0,1
572,54,9,97382.53,1,195771.95,Germany,Female,1,1
823,71,5,149105.08,1,162683.06,France,Male,0,1
803,65,2,151659.52,2,6930.17,France,Female,0,1
603,34,9,0.0,2,167916.35,France,Female,1,0
656,46,7,141535.52,1,50595.15,Germany,Female,1,0
598,41,3,91536.93,1,191468.78,Germany,Male,1,0
411,54,9,0.0,1,76621.49,France,Female,0,1
612,36,5,119799.27,2,159416.58,Spain,Female,1,0
691,36,7,129934.64,1,75664.56,Spain,Male,0,0
710,24,7,103099.17,2,173276.62,Germany,Female,1,0
637,43,3,172196.23,1,104769.96,Spain,Male,1,1
777,53,10,0.0,2,189992.97,France,Female,1,0
663,29,4,102714.65,2,21170.81,Germany,Female,0,0
577,33,6,0.0,2,57975.8,Spain,Female,1,0
604,42,10,166031.45,1,98293.14,Germany,Female,1,0
674,39,6,120193.42,1,100130.95,Spain,Male,0,0
626,29,4,105767.28,2,41104.82,France,Female,0,0
711,28,8,0.0,2,105159.89,France,Female,0,0
454,50,10,92895.56,1,154344.0,Germany,Female,1,0
